time,Hourly Demand Met (in MW)
26-Apr 11pm,23901.52
27-Apr 12am,23801.81
27-Apr 1am,23431.17
27-Apr 2am,22951.91
27-Apr 3am,22723.56
27-Apr 4am,22821.28
27-Apr 5am,23230.94
27-Apr 6am,23461.60
27-Apr 7am,23101.80
27-Apr 8am,23377.17
27-Apr 9am,24493.47
27-Apr 10am,25109.57
27-Apr 11am,25256.59
27-Apr 12pm,25501.75
27-Apr 1pm,25331.54
27-Apr 2pm,25605.26
27-Apr 3pm,25946.12
27-Apr 4pm,25109.45
27-Apr 5pm,24367.09
27-Apr 6pm,23469.88
27-Apr 7pm,23905.17
27-Apr 8pm,23459.17
27-Apr 9pm,22638.30
27-Apr 10pm,22953.68
27-Apr 11pm,23285.22
28-Apr 12am,23165.79
28-Apr 1am,23066.35
28-Apr 2am,22462.83
28-Apr 3am,22200.56
28-Apr 4am,22330.19
28-Apr 5am,22766.20
28-Apr 6am,23079.48
28-Apr 7am,22964.44
28-Apr 8am,23208.81
28-Apr 9am,23642.75
28-Apr 10am,24368.44
28-Apr 11am,24425.47
28-Apr 12pm,24292.26
28-Apr 1pm,23640.81
28-Apr 2pm,23948.85
28-Apr 3pm,23601.44
28-Apr 4pm,22668.98
28-Apr 5pm,22456.76
28-Apr 6pm,21450.78
28-Apr 7pm,22420.19
28-Apr 8pm,22127.28
28-Apr 9pm,21779.01
28-Apr 10pm,22006.20
28-Apr 11pm,22082.77
29-Apr 12am,22009.21
29-Apr 1am,21702.32
29-Apr 2am,21260.89
29-Apr 3am,20951.23
29-Apr 4am,20943.85
29-Apr 5am,21599.14
29-Apr 6am,22093.09
29-Apr 7am,21996.04
29-Apr 8am,22140.83
29-Apr 9am,22676.76
29-Apr 10am,23262.50
29-Apr 11am,23329.88
29-Apr 12pm,23190.36
29-Apr 1pm,22791.08
29-Apr 2pm,23108.88
29-Apr 3pm,23605.15
29-Apr 4pm,23494.55
29-Apr 5pm,23126.78
29-Apr 6pm,22804.59
29-Apr 7pm,23575.77
29-Apr 8pm,23008.89
29-Apr 9pm,22493.39
29-Apr 10pm,22195.89
29-Apr 11pm,22115.02
30-Apr 12am,21837.35
30-Apr 1am,21427.70
30-Apr 2am,20987.01
30-Apr 3am,20582.90
30-Apr 4am,20206.53
30-Apr 5am,20804.99
30-Apr 6am,21128.54
30-Apr 7am,20871.54
30-Apr 8am,20769.47
30-Apr 9am,20793.82
30-Apr 10am,21444.60
30-Apr 11am,21729.13
30-Apr 12pm,21509.91
30-Apr 1pm,21006.71
30-Apr 2pm,20917.21
30-Apr 3pm,21053.50
30-Apr 4pm,20630.35
30-Apr 5pm,20456.62
30-Apr 6pm,20289.26
30-Apr 7pm,21275.27
30-Apr 8pm,21080.48
30-Apr 9pm,20660.36
30-Apr 10pm,20881.79
30-Apr 11pm,20999.18
